25 20
#############
#t.........t#    ########
#...s...s...######......#
#.............ö.........#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #..p....#      #......#
  #.......#      #......#
  #########       ######
